,Channel_Name,Description,Subscribers,Views,Videos,Playlist_ID
0,T-Series,"""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.
T-Series is associated with music industry from past three decades, having ample catalogue of music comprising plenty of languages that covers the length & breadth of India. We believe after silence, nearest to expressing the inexpressible is Music. So, all the music lovers who believe in magic of music come join us and live the magic of music with T-Series.",248000000,231751082598,19415,UUq-Fj5jknLsUf-MWSy4_brA
1,CarryMinati,"I am an Indian comedian, gamer, rapper. 

CarryisLive :  https://www.youtube.com/channel/UC0IW...

Instagram► https://www.instagram.com/carryminati/
Facebook ► https://www.facebook.com/CarryDeol/
Twitter ► https://twitter.com/CarryMinati 
Snapchat► heyAjey

Business Related queries: workforcarry@gmail.com 

About CarryMinati : Youthoob certified member

DISCLAIMER: Please don't go out of your way to  or hate on anyone I talk about in my videos, this channel is to entertain people and I usually focus on joking about what the people are doing in general & not the individual themselves, please don't go spreading hate it's all 
for laughs. For detailed disclaimer please refer to the below link.
https://bit.ly/3iRKHH8",40100000,3422181088,188,UUj22tfcQrWG7EMEKS0qLeEg
2,World Snooker Tour,The professional snooker tour,349000,158229992,4568,UU5lTEvtwu6SR3LMSmU9VZ2Q
3,Abhi and Niyu,"Abhi and Niyu are a husband-wife content creators duo who started their journey with the purpose to make the internet positive and put positive news in front of people. Their series 100 Reasons to Love India brought out positive stories about India, India's changemakers, our history, culture and created an army of people who work to find solutions to everyday problems. 

Featured in Forbes 30 under 30
Most Impactful Influencer of the Year 2020

We are here to tell you stories about the REAL INDIA that the mainstream media ignores. We are here to share solutions. We are here to make YOU INDIA POSITIVE!
#followinglove #abhiandniyu #farakpadtahai

Find our Podcast Recommendation Channel on Telegram
t.me/abhiandniyupodcasts",4820000,691952714,725,UUsDTy8jvHcwMvSZf_JGi-FA
4,Saket Gokhale,Just a kid capturing the best moments of his life on video :),1170000,129994072,414,UUfgrg0SXgNkZ7rTbnZCp6tg
5,Tomorrowland,Relive all the magical moments of Tomorrowland all year long. ,10800000,2002582080,2081,UUsN8M73DMWa8SPp5o_0IAQQ
6,Samay Raina,I do it for the laugh emoji,1200000,356205538,869,UUAov2BBv1ZJav0c_yHEciAw
7,Harsh Beniwal,"Official Channel Of Harsh Beniwal
Managed By BrandzUp (VCOI Digital Media PVT. LTD.)

For Business :- Harsh@brandzup.media",15500000,1810225166,165,UUVmEbEQUGXHVm-O9pqa3JWg
8,Ankkita C,"HIIIIIIIII I'm Ankkita Chauhan, aka AnkkitaC. I am a creator for S8UL and post gaming content + vlogs! 
Be nice ♥ 

Social:
Instagram : https://www.instagram.com/ankkitac
Discord: https://discord.gg/N38AwGc
Twitter: https://twitter.com/AnkkitaC

Managed by 8bit Creatives - https://www.instagram.com/8bit_creatives/
Business email - contactankkitac@gmail.com
",381000,52042914,834,UUH4YXG1SMJQsbG8T8gK42Lg
9,ChessBase India,"ChessBase India is the ""Most Popular"" chess platform in India and one of the biggest chess media houses in the world. It is the biggest chess news portal and chess software distributor in the country. Our motto is “Powering Chess in India”.
Towards the end of 2015 we identified two important things that needed to be done in order to boost Indian chess further:
1. Have world class news & services to popularize & promote the sport and young talents in the country
2. Provide world class technological support at affordable prices.
We also provide services like foundation to help chess players, planning chess tournaments, free training material on youtube and in our reports, online tournaments, media coverage for tournaments, Seminars and Training camps.
ChessBase India is a one stop solution!
Join us!",1330000,1068129618,10176,UUIsEhwBMPkRHsEgqYAPQHsA
10,K18,"Subscribe to my 2nd Channel : K18 PLUS
Email : k18@8bitcreatives.in",1320000,369172630,1517,UUa53p7RNvfUhA2NSXo2J0rg
11,Tips Official,"The proud history of Tips Industries Limited stretches back over four decades ago, it was founded by Kumar S. Taurani and Ramesh S. Taurani in 1975. Its distributors serve more than 1,000 wholesalers and 400,000 retailers across India. A treat for every music lover and Bollywood connoisseur! Chart buster songs from super-hit movies like Dil Hai Tumhara, Ramaiya Vastavaiya, Ajab Prem Ki Gazab Kahani and more.

Tips Music - Home To India's Biggest Music Hits. Subscribe to our channel to listen to chartbusters in the making, see premieres of blockbuster videos and get your daily dose of some great music right here.

Subscribe to the Tips Official YouTube channel for all the latest and The Must Have Hits.
",60500000,34239107959,4869,UUJrDMFOdv1I2k8n9oK_V21w
12,Matt Rife,Comedian/ Actor/ Writer.,1490000,87416348,59,UU2mKA8JTOCeodl9bEK7w42Q
13,Tanner Braungardt,"Just a kid from the Midwest

Instagram: @TannerBraungardt
Snapchat: Tanner_B24
Twitter: @Braungardtanner
Business Inquiries: tbraungardtbiz@gmail.com",4420000,1297474578,867,UUPXyQxTXhWeKJ2Nf6ywzCjw
14,MrBeast,"SUBSCRIBE FOR A COOKIE!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Built wells in Africa
- helped 1,000 blind people see
- helped 1,000 deaf people hear
- Given millions to charity
- Started my own snack company Feastables
- Donated over 100 cars lol
- Gave away a private island (twice)
- Gave away 1 million dollars in one video
- Counted to 100k
- Read the Dictionary
- Read Bee Movie Script
- Read Longest English Word
- Watched Paint Dry
- Ubering Across America
- Watched It's Every Day Bro For 10 Hours
- Ran a marathon in the world's largest shoes
- Adopted every dog in a shelter
- Bought $1,000,000 in lottery tickets
- Sold houses for $1
- I got buried alive
- Recreated Squid Game in real life
- Gave away a chocolate factory
- Gave away private jet
- Survived 50 hours in Antarctica
You get the point haha


*Do not email me asking for money, I give away money because it makes me happy :)",180000000,31292066713,748,UUX6OQ3DkcsbYNE6H8uQQuVA
15,Chef Ranveer Brar,"
Masterchef India judge, Food Sufi , Television celebrity, author, restaurateur, food film producer and benefactor, chef Ranveer Brar is one of the most celebrated chefs in the country.

Getting the basics right and revering the kitchen as an artist would his/her studio, are mantras he lives by and propagates to others as well.

With a bestseller in his kitty, a popular host and judge on television and an artist both in and out of the kitchen, chef Brar calls himself a food-sufi on a constant culinary quest.
--------------------------------------------------------------------------
",6740000,902038438,844,UUEHCDn_BBnk3uTK1M64ptyw
16,CodeWithHarry,"Code With Harry is my attempt to teach basics and those coding techniques to people in short time which took me ages to learn.
At Code With Harry, I provide a quick and to the point demo along with resources of anything and everything I teach. Source code and other resources are hosted on my website CodeWithHarry.com. I provide source code(if any) in the description of every video.
Quality programming videos in Hindi :)
Business enquiries: harry@codewithharry.com
",4390000,614599492,2123,UUeVMnSShP_Iviwkknt83cww
17,5-Minute Crafts,"Fun diy-projects, crafts, experience the joy of doing it yourself!
OFFICIAL CHANNEL.

5-MINUTE CRAFTS SHOP: https://linktr.ee/5minutecrafts

For brand partnership enquires: brands@thesoul-publishing.com",80200000,26450764214,6504,UU295-Dw_tDNtZXFeAPAW6Aw
18,Aakash Gupta,"I am Aakash Gupta and this is my YouTube channel where I aim to create original content through  stand up videos,  comedy sketches, short films and much more.

Contact us at :
thecomicaakash@gmail.com",3840000,367972675,34,UUAYum5hCyfkSH5T3vSD_kwQ
19,Tanmay Bhat,,4520000,1317040102,936,UU0rE2qq81of4fojo-KhO5rg
20,Abhishek Upmanyu,"This is my YouTube Channel. I'll keep uploading something new, every week, or every month, or every year, or every decade definitely. Hope you enjoy it and then get obsessed by it",4710000,391994249,19,UU4muYPMCSYigqIwRjVWkQ2Q
