,Title,Published_date,Views,Likes,Comments,VIDEO_ID
0,Push Day,2023-08-29T06:10:25Z,86483,7352,537,OmDyOi13wAY
1,The Duo Is Back,2023-08-25T11:40:20Z,106003,8031,395,Oks9BMj2tgs
2,Back & Biceps,2023-08-23T11:31:07Z,91400,7158,362,tm9uSPSk5R4
3,Chest Day,2023-08-21T11:46:57Z,111931,7916,421,gS32InFo9l8
4,Chase Your Dreams,2023-08-20T13:37:52Z,83592,8385,511,j43lbnqhnSY
5,Back Day,2023-08-14T11:26:13Z,117767,8327,462,8qhh-V12qVA
6,Chest Day,2023-08-09T11:30:27Z,109129,8453,463,c_foeIDQwcg
7,Chest Day,2023-07-31T11:28:43Z,164129,10945,522,6YOmNDNepFs
8,Arm Day,2023-07-28T13:26:00Z,117814,8329,460,YfGJ6QndFr8
9,Back Day,2023-07-24T11:23:23Z,165999,9729,394,toSfQ78eTZg
10,Chest Day,2023-07-21T11:12:34Z,176676,11085,509,mMpRXGhuucM
11,Arm Day,2023-07-15T13:17:59Z,159367,9848,395,8e_-__hnN3Y
12,Back Day,2023-07-13T12:28:20Z,117653,8303,511,kbDHH9H6yDA
13,Chest Day w/ My Videographer,2023-07-11T06:14:16Z,108920,7323,328,MQ2erNVVPrI
14,Leg Day,2023-07-08T06:23:36Z,124270,8425,386,e-BiHuRUosA
15,The Vietnam Vlog: Episode 3,2023-07-05T05:58:56Z,64295,4763,194,mNi54juM8Zk
16,The Vietnam Vlog: Episode 2,2023-07-02T05:52:18Z,102307,6936,254,w2yMyKujNX4
17,The Vietnam Vlog: Episode 1,2023-06-29T11:19:26Z,156492,10764,350,KpTXKpb1G20
18,The Last Workout in India,2023-06-26T06:00:03Z,148900,10992,475,Dc-wVuzwkpo
19,Back & Biceps,2023-06-22T11:34:24Z,165310,11535,570,TvE7gt9yebQ
20,Arm Day,2023-06-18T07:11:23Z,169361,10073,457,4huS1O2Ant8
21,Back Day,2023-06-13T13:13:50Z,123401,8563,810,dBVe9C9-KUo
22,Chest & Shoulders,2023-06-10T12:30:44Z,149563,9832,416,ffDAMv5YLQg
23,Back & Biceps,2023-06-07T12:29:15Z,174926,11276,548,83s--oWsV3Q
24,Gym Tour,2023-06-04T13:00:03Z,147356,7860,275,TfnQHo9eX6Q
25,Leg Day,2023-06-01T12:29:49Z,189974,10705,481,R7w3s5WYSOw
26,Push Day,2023-05-29T05:41:16Z,199846,13367,711,OzhRZ7WtCGw
27,Bringing Back The Intensity,2023-05-25T12:29:23Z,113478,8195,1317,f4Z29h2qwqQ
28,Chest Day,2023-05-22T12:29:18Z,177997,11571,584,olTh88krgJg
29,Shoulders & Arms,2023-05-19T12:30:04Z,156736,9598,619,nYgotlSmc-o
30,Back Day | New Lens Unboxing,2023-05-15T13:23:55Z,118435,9037,418,8V96-DhHCuk
31,Shoulders & Arms | Re-Introducing OHP,2023-05-12T12:25:57Z,150021,10378,441,bUTXfsY13ZI
32,Chest Day | Back To Benching,2023-05-09T12:30:22Z,119391,9661,490,KBCH6YOC9Zc
33,Heavy Back Day | Weighted Pull-Up Gains,2023-05-06T12:04:16Z,150062,10550,419,lDqfh8qjjjM
34,HUGE Supplement Stack Unboxing | Intense Leg Day,2023-05-03T11:48:54Z,123852,9916,340,kyNIe2Fi_ZI
35,The Next Chapter,2023-04-30T10:37:03Z,114498,9105,379,dJcSTG38yt4
36,RAW Pull Workout ft. @FitMindsvlogs | 100KG Bench Rep Out,2023-04-27T06:09:31Z,179544,11348,348,EUeBmuqihis
37,RAW Push Day ft. @FitMindsvlogs | 65KG Dumbbell Press,2023-04-25T05:59:20Z,303488,19650,756,GNzrfG0byRY
38,Training In Delhi | Hotel Gym Workout,2023-04-19T05:59:35Z,85456,6481,268,yPvf4w_A8og
39,Leg Day,2023-04-12T05:59:54Z,105836,7514,359,xkazCnvtG3U
40,A New Beginning,2023-04-09T06:00:38Z,125011,8382,457,CfJJ9xO-aS4
41,Back Day,2023-04-01T05:58:43Z,127434,8053,432,IZ-Hc-gqmuY
42,Chest & Shoulders w/ Aryan Khanna,2023-03-31T05:59:01Z,152190,8275,321,cCAbKSPbLgc
43,Leg Day,2023-03-30T05:59:44Z,79600,6277,319,orQSEc3NrQA
44,Arm Day,2023-03-29T05:59:05Z,120496,7929,430,_4BCJBKNwaE
45,Back Day,2023-03-28T05:59:53Z,125651,8718,585,GZTFDYIAsXY
46,A Special Episode | Raw Hotel Gym Push Workout w/ Neel + Our Gold Play Button,2023-03-24T05:59:43Z,99352,7713,411,mB8AShooBLg
